Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2007-09-30, Rams, 62, 21, 125, 30, 14, 7, 50, 0, 1, 12, 12, 3, 0, 0, 1631, 7, Cowboys, 171, 33, 331, 33, 21, 2, 10, 0, 1, 28, 13, 8, 0, 0, 1969, 35
2007-09-30, Texans, 87, 22, 311, 40, 28, 7, 78, 2, 0, 18, 13, 5, 2, 1, 1548, 16, Falcons, 90, 30, 214, 29, 23, 2, 20, 0, 0, 20, 15, 7, 0, 0, 2052, 26
2007-09-30, Raiders, 299, 49, 70, 12, 5, 2, 15, 1, 0, 21, 15, 9, 3, 2, 2107, 35, Dolphins, 141, 20, 137, 25, 14, 5, 34, 0, 2, 13, 11, 3, 2, 2, 1493, 17
2007-09-30, Ravens, 111, 20, 307, 53, 34, 7, 41, 1, 1, 26, 14, 7, 3, 1, 2069, 13, Browns, 99, 30, 204, 18, 10, 6, 41, 0, 1, 12, 12, 5, 0, 0, 1531, 27
2007-09-30, Eagles, 114, 23, 76, 31, 15, 15, 132, 1, 0, 16, 16, 5, 1, 0, 1826, 3, Giants, 83, 27, 129, 26, 14, 4, 27, 0, 1, 16, 11, 3, 0, 0, 1774, 16
2007-09-30, Jets, 60, 19, 286, 39, 32, 9, 65, 0, 2, 20, 11, 6, 1, 1, 1664, 14, Bills, 86, 28, 218, 28, 22, 6, 38, 1, 1, 19, 10, 5, 1, 1, 1936, 17
2007-09-30, Steelers, 77, 26, 205, 32, 17, 11, 72, 0, 2, 17, 15, 5, 1, 1, 1932, 14, Cardinals, 86, 25, 215, 35, 21, 5, 30, 2, 0, 19, 14, 7, 1, 1, 1668, 21
2007-09-30, Broncos, 223, 36, 131, 21, 13, 4, 32, 1, 1, 22, 10, 6, 0, 0, 1752, 20, Colts, 226, 37, 193, 27, 20, 2, 10, 0, 0, 30, 10, 6, 0, 0, 1848, 38
2007-09-30, Chiefs, 126, 28, 264, 29, 17, 4, 28, 0, 2, 17, 11, 4, 0, 0, 1805, 30, Chargers, 133, 24, 200, 42, 21, 4, 21, 2, 2, 19, 12, 3, 1, 0, 1795, 16
2007-09-30, Packers, 46, 20, 338, 45, 32, 6, 40, 2, 0, 20, 14, 7, 1, 1, 1858, 23, Vikings, 155, 22, 227, 39, 21, 7, 40, 1, 1, 20, 15, 5, 1, 1, 1742, 16
